,Order,Size,Average Degree,Diameter,Sparsity,Coherence
0,155,503,6.49,8.0,0.958,4.138365615681091e-10
1,242,763,6.306,8.0,0.974,0.005560240414899393
2,213,749,7.033,13.0,0.967,6.066548716943798e-17
3,332,1241,7.476,11.0,0.977,4.122218127829389e-37
4,136,400,5.882,11.0,0.956,0.02625677672783104
5,174,658,7.563,6.0,0.956,0.020480581310117874
6,416,1719,8.264,5.0,0.98,2.9629081201791427e-205
7,185,654,7.07,10.0,0.962,0.06600969466976875
8,158,545,6.899,8.0,0.956,0.011853351595595217
9,254,868,6.835,5.0,0.973,0.0
10,186,663,7.129,9.0,0.961,1.595006369610188e-114
11,221,720,6.516,5.0,0.97,0.0019716291648302596
12,164,556,6.78,12.0,0.958,5.277353304097367e-07
13,194,586,6.041,13.0,0.969,0.0036163997441082357
14,152,463,6.092,8.0,0.96,1.6408455156320606e-20
15,160,593,7.412,4.5,0.953,0.0981459128983275
16,129,371,5.752,12.0,0.955,0.10568081058628222
17,172,536,6.233,7.0,0.964,0.024640079862292986
18,172,607,7.058,8.0,0.959,0.154773053301365
19,263,914,6.951,10.0,0.973,6.631387751845466e-243
20,132,440,6.667,8.0,0.949,0.03313632082596121
21,191,587,6.147,5.0,0.968,2.833971011103869e-135
22,97,271,5.588,4.0,0.942,0.11102525266521529
23,112,319,5.696,9.0,0.949,0.04425092776579241
24,98,244,4.98,8.0,0.949,0.002268933716122194
25,141,496,7.035,9.0,0.95,7.629132005323035e-39
26,129,381,5.907,10.0,0.954,0.0006292402134097533
27,204,680,6.667,8.0,0.967,0.06809236623562455
28,151,534,7.073,10.0,0.953,5.356856029081731e-07
29,132,316,4.788,10.0,0.963,0.06652273136097989
30,104,260,5.0,3.5,0.951,0.030986339564038196
31,137,430,6.277,7.0,0.954,0.028404684324902025
32,105,295,5.619,12.0,0.946,1.2721131549436062e-13
33,131,414,6.321,4.5,0.951,0.04408095798191805
34,111,231,4.162,11.0,0.962,0.008992611807003647
35,271,952,7.026,8.0,0.974,1.3897817985813995e-134
36,131,398,6.076,10.0,0.953,0.02993027195053851
37,171,486,5.684,5.0,0.967,0.0003368972455263118
38,114,262,4.596,10.0,0.959,2.0067744629251723e-08
39,149,430,5.772,7.0,0.961,7.720259996765428e-11
40,170,605,7.118,7.5,0.958,0.008621724167374578
41,116,348,6.0,9.0,0.948,0.06350258766523147
42,79,161,4.076,9.0,0.948,0.011406626511230826
43,148,401,5.419,5.5,0.963,3.4070760470548064e-06
44,81,220,5.432,4.5,0.932,0.08459086971016622
45,106,283,5.34,11.0,0.949,0.03632445219753616
46,106,293,5.528,7.0,0.947,0.0846038135890421
47,80,196,4.9,10.0,0.938,0.010010506584530001
48,83,241,5.807,3.5,0.929,0.2069114574287032
49,90,202,4.489,10.0,0.95,0.015386406404508423
50,73,126,3.452,8.0,0.952,2.309762299340223e-167
51,139,404,5.813,8.0,0.958,0.04037995555833091
52,262,963,7.351,9.0,0.972,1.4657276946062127e-182
53,368,1507,8.19,10.0,0.978,2.8599268059584986e-215
54,112,264,4.714,12.0,0.958,0.19196623941626828
55,113,302,5.345,8.0,0.952,0.00021962065737660076
56,102,258,5.059,4.5,0.95,0.020198519697150655
57,103,239,4.641,9.0,0.955,0.024302613857185247
58,98,276,5.633,6.0,0.942,0.007891140565665058
59,90,196,4.356,9.0,0.951,0.04335341658259023
