,Data index,Weights of regression,Bias of regression,Graph_index
0,0,"[-0.0229471  -0.05931161 -0.06044467 -0.06024667 -0.0604578  -0.06024622
 -0.06023436 -0.06024534 -0.06016077 -0.06044744 -0.05992567 -0.06024821
 -0.06024839 -0.06025354 -0.06023415 -0.06025192 -0.06023922 -0.06023274
 -0.05801079 -0.06026231  0.42842707  0.42821637  0.42832792  0.42737734
  0.4279378 ]",0.016369402,400
1,0,"[-1.1499660e-03 -3.2783237e-03  4.3646141e-04 -2.8202862e-03
  2.3510563e-04  1.2500177e-03  1.8582714e-04  3.3450645e-04
  2.7237891e-03 -2.7843257e-03  1.8540544e-03  6.5841398e-04
  1.8540754e-03  1.3594035e-03  6.5845036e-04  1.4714764e-03
  1.3594253e-03 -2.7165327e-03  1.4399991e-03  4.9642689e-04
 -3.2297662e-03 -4.4667482e-05 -3.6071980e-04 -3.6087504e-04
 -4.4676359e-05]",0.98358685,401
2,1,"[-1.0158966e-03  1.8027180e-03  8.8032539e-04  8.4822625e-03
  2.4389650e-05 -1.3743958e-04  7.8857702e-05 -1.6496965e-04
 -8.9699752e-05 -1.1921098e-04 -1.3913534e-04 -8.9511508e-05
 -5.2240212e-04  7.2552840e-04 -1.2972037e-04  7.8748417e-05
 -8.9769310e-05 -8.9775596e-05 -1.1912460e-04 -1.1915603e-04
 -1.0479309e-03 -7.1323809e-04 -4.0281739e-04 -4.0280097e-04
 -7.1321550e-04]",0.9835866,404
3,1,"[-0.02394573 -0.06048816 -0.06077977 -0.06053495 -0.06088953 -0.0601451
 -0.06007227 -0.06015434 -0.06103473 -0.06085487 -0.06015915 -0.06002695
 -0.05831621 -0.0605434  -0.06013423 -0.06029946 -0.05834755 -0.06026595
 -0.06001845 -0.06026883  0.42904347  0.4290435   0.42850125  0.42659286
  0.42853332]",0.016369402,405
4,2,"[0.00068077 0.00017632 0.00035789 0.00025156 0.00023334 0.0002445
 0.00023335 0.00027877 0.00025262 0.00027871 0.00023339 0.00025261
 0.00023335 0.0002333  0.00025926 0.0002334  0.00023336 0.00024451
 0.00025919 0.00063851 0.00028287 0.00048486 0.00031208 0.00031201
 0.0004849 ]",0.9835866,408
5,2,"[ 1.9611574e-04  4.6935515e-04  1.8667067e-04  3.2912591e-04
 -8.1618404e-05 -1.5814268e-04  2.4962876e-04  3.5946432e-04
  3.2900163e-04  3.4678337e-04  2.6879957e-04 -9.1848779e-07
  4.6937281e-04  1.8517344e-04  3.5948359e-04  3.5935975e-04
  4.6935646e-04  3.2905795e-04  3.5944305e-04  3.5946249e-04
  2.8400819e-04  2.2671118e-04  3.8673042e-04  3.8670015e-04
  2.2676960e-04]",0.9835866,409
6,3,"[ 1.0551041e-04  1.4181540e-04  2.3922574e-04  5.7103438e-04
  7.1368537e-05  1.1632072e-04  7.1318434e-05  4.3643522e-04
  5.7104061e-04  1.6474733e-04  2.3925232e-04  1.6481751e-04
  4.3645699e-04  2.3927758e-04  9.5744719e-05  1.8510030e-04
  2.0373540e-04  2.0216999e-04  2.3926886e-04  1.8512330e-04
  8.0042664e-04 -3.8337248e-04 -6.3174864e-04 -3.0735385e-04]",0.9835868,412
7,3,"[ 2.43333910e-04 -1.53818401e-05  2.53702514e-04  2.45773699e-04
  1.79978058e-04  1.14900264e-04  2.53688922e-04  3.03463079e-04
  3.70476628e-04  3.08464281e-04  3.70456546e-04  3.03638721e-04
  3.70489550e-04  3.39977618e-04  3.03487934e-04  2.45776959e-04
  3.70626221e-04  3.03429842e-04  3.03595472e-04  3.03496170e-04
  2.35709158e-04  1.32318528e-04  2.59581895e-04  2.59640859e-04
  1.32291418e-04]",0.9835866,413
8,4,"[0.00051187 0.00020758 0.00033335 0.00016685 0.00021052 0.00027364
 0.00026085 0.00025996 0.00033349 0.00020834 0.00024299 0.00027361
 0.0002776  0.00033339 0.00023898 0.00023897 0.00027363 0.00029996
 0.00033329 0.00066605 0.0001712  0.00046739 0.00019302 0.00019302
 0.00046734]",0.98358655,416
9,4,"[-0.0001148  -0.00031514  0.00017659  0.00039244 -0.00030536  0.00039244
  0.00049639  0.00039246  0.00030953  0.00028729  0.00039529  0.00049645
  0.00028944  0.00039527 -0.0002879   0.00039244  0.00039247  0.00039533
  0.00039529  0.00039528  0.00030061  0.00024826  0.00039071  0.00039068
  0.00024827]",0.98358655,417
