,Weights of regression,Bias of regression,Graph_index
0,"[ 0.1182967  -0.06619944 -0.06615967 -0.06622136 -0.0661895  -0.06621099
 -0.06619421 -0.06621399 -0.06618681 -0.06621201 -0.06621568 -0.0662154
 -0.06621695 -0.06622428 -0.06622012 -0.06621814 -0.06621394 -0.06619007
 -0.06620008 -0.0662302   0.42204058  0.4221167   0.42267466  0.42214844
  0.42284405]",0.019827664,400
1,"[ 0.12056437 -0.06465124 -0.06511539 -0.06480879 -0.0667276  -0.06480666
 -0.06479881 -0.06481156 -0.06480428 -0.06480955 -0.06481829 -0.0647915
 -0.0648175  -0.06479632 -0.06480533 -0.06479717 -0.06479207 -0.06482185
 -0.06479953 -0.06479931  0.4218112   0.42111722  0.4001623   0.418022
  0.41933638]",0.01982826,405
2,"[-0.00020728 -0.00064431  0.00040602  0.0004709   0.0003768   0.00037683
  0.00037676  0.00047097  0.00044268  0.00034687  0.0003768   0.00047087
  0.00034693  0.00040035  0.00034698  0.00040034  0.00044138  0.00047093
  0.00040034  0.00034683 -0.00013877 -0.00081874 -0.00075896 -0.00075897
 -0.00081885]",0.9801282,410
3,"[ 0.12059369 -0.06605376 -0.06632915 -0.06633137 -0.06639353 -0.06631165
 -0.06635544 -0.06633702 -0.06632585 -0.06607258 -0.06632676 -0.06631967
 -0.06631378 -0.06631032 -0.06632411 -0.06636958 -0.06635079 -0.06632549
 -0.06638353 -0.06634291  0.42203853  0.42204782  0.42265788  0.42202324
  0.4227458 ]",0.019827664,415
4,"[5.8056525e-04 1.7673429e-04 1.7879589e-05 7.0434879e-05 3.0122671e-04
 1.9388442e-04 7.9707173e-04 2.8000967e-04 2.3997723e-04 2.9866840e-04
 2.8187883e-04 2.7838832e-04 2.7842144e-04 2.7848047e-04 2.7938274e-04
 2.7842223e-04 7.9707033e-04 2.9868158e-04 2.8184251e-04 2.3995803e-04
 3.4252650e-04 3.0430668e-04 3.1167877e-04 3.1177251e-04 3.0428695e-04]",0.9801278,420
5,"[ 0.12129248 -0.06507599 -0.06630033 -0.06640384 -0.06507508 -0.06639939
 -0.06640726 -0.06637072 -0.06640536 -0.06639505 -0.06643131 -0.06639098
 -0.06638925 -0.06646121 -0.06639619 -0.06644697 -0.06640599 -0.06640039
 -0.066401   -0.06640403  0.4217675   0.4217492   0.4222614   0.42157814
  0.42234546]",0.019827366,425
6,"[ 0.12098682 -0.06552066 -0.06634619 -0.06635083 -0.06630883 -0.06634763
 -0.06629577 -0.06632372 -0.06633249 -0.06631378 -0.06602796 -0.06605159
 -0.06632715 -0.0663255  -0.06634418 -0.06634385 -0.06634745 -0.06630776
 -0.06634173 -0.0663523   0.42200106  0.42201722  0.42195326  0.42191213
  0.42220452]",0.019827515,430
7,"[-0.00217666 -0.00030919  0.00010831 -0.00046232  0.00095911 -0.00029641
  0.00306734  0.0009591   0.0007946   0.00095904  0.00090129  0.00095895
 -0.00215254  0.00084798  0.0009012  -0.00209093  0.00089984  0.0009
  0.00073179  0.00084793 -0.00153729 -0.0010237  -0.00119418 -0.00119424
 -0.00102364]",0.98012817,435
8,"[-5.5522000e-04 -1.1123285e-03  5.1187782e-04  5.1197625e-04
  1.0155072e-04  1.0666959e-04  5.5540458e-04  1.1473343e-04
  4.4617822e-04  1.3162656e-04  1.8749185e-04  5.1208097e-04
  5.5545598e-04  3.4302392e-04  4.5295394e-04  5.0745095e-04
  5.1199069e-04  5.0742901e-04  4.0939174e-04  9.9344899e-05
 -3.8731869e-04 -5.3601095e-04 -4.4120065e-04 -4.4118703e-04
 -5.3607090e-04]",0.9801282,440
9,"[ 5.6642550e-04  9.0656918e-04  2.0501990e-05  6.0565741e-05
  5.3991564e-05  2.1684835e-04  2.1910497e-04  2.1683509e-04
  2.4618951e-04  2.4610467e-04  2.1910277e-04  2.1685699e-04
  9.0650038e-04  2.1910493e-04  2.1912104e-04  2.1912412e-04
  2.4814712e-04 -6.7545770e-05  2.4814811e-04  2.1912374e-04
  7.7889318e-04  6.9758855e-05  8.0608111e-04  8.0608274e-04
  6.9789501e-05]",0.9801278,445
10,"[ 0.1193277  -0.06697092 -0.06590509 -0.06706265 -0.06544194 -0.06548199
 -0.06588937 -0.06546004 -0.06541751 -0.06589654 -0.06547923 -0.06540097
 -0.06597239 -0.06589327 -0.06496796 -0.06587927 -0.06539989 -0.06542267
 -0.06540842 -0.06542529  0.4204544   0.4206087   0.41700384  0.41914195
  0.42074436]",0.019827724,450
11,"[0.00090051 0.00022518 0.0002164  0.00021643 0.00021639 0.00027424
 0.00021642 0.00021426 0.00021641 0.0002201  0.00021642 0.00021623
 0.00022014 0.00021535 0.00021428 0.00022168 0.00021428 0.0002164
 0.00021645 0.00022285 0.0009595  0.00027016 0.00094887 0.00094887
 0.00027018]",0.9801279,455
12,"[-2.5451522e-05  3.5360805e-04  4.7440216e-04 -5.0050823e-04
 -5.1356014e-04 -1.7318124e-04  4.9357966e-04  2.5614866e-03
 -5.1358610e-04 -1.7312885e-04  4.9349543e-04  5.7204289e-04
  4.7443312e-04  4.7447084e-04  4.9472321e-04  4.7445571e-04
  4.7445908e-04  4.7442882e-04  4.9480319e-04 -2.9093397e-04
 -1.7550463e-04 -2.0825735e-04  3.3879638e-05  3.3878605e-05
 -2.0817839e-04]",0.980128,460
13,"[-0.0010136   0.00022145  0.00026056  0.00050574  0.00051369  0.00042142
  0.0004215   0.00045326  0.00049007  0.00045322  0.00049013  0.00045319
  0.00049508  0.0004901   0.00051448  0.00050078  0.0005559   0.0005559
  0.00045317  0.00055599 -0.00077028 -0.00081178 -0.00053564 -0.00053566
 -0.0008118 ]",0.98012805,465
14,"[ 0.11820408 -0.06712341 -0.06556727 -0.06553938 -0.06555662 -0.06714267
 -0.06512918 -0.06561531 -0.06563605 -0.0656282  -0.06563845 -0.06563255
 -0.06556946 -0.06560329 -0.06555909 -0.06562412 -0.06562298 -0.06561582
 -0.06564373 -0.06561413  0.4206865   0.42091984  0.4177375   0.41896033
  0.42108706]",0.019827664,470
15,"[ 0.12034075 -0.06734727 -0.06540973 -0.06539126 -0.06538084 -0.06542251
 -0.06540041 -0.06496447 -0.0653962  -0.06539187 -0.06615616 -0.06542347
 -0.06696595 -0.06626689 -0.06624025 -0.06542687 -0.06763135 -0.06542632
 -0.06543984 -0.06546175  0.42040735  0.42021424  0.41735888  0.41941446
  0.42064574]",0.019827724,475
