,Data index,Weights of regression,Bias of regression,Graph_index
0,[0],"[-0.00045474 -0.00045271 -0.00045675 -0.00045903 -0.0004562  -0.00045699
 -0.00045485 -0.00045029 -0.00045456 -0.00045813 -0.00045572 -0.00045497
 -0.00045711 -0.00045588 -0.00045685 -0.00045518 -0.00045618 -0.00045292
 -0.00045645 -0.00045542 -0.00045657 -0.00045384 -0.0004539  -0.00045454
 -0.00045497]",0.9790366,400
1,[0],"[-0.00045714 -0.0004561  -0.00045175 -0.00045735 -0.0004528  -0.000451
 -0.00045715 -0.00045746 -0.00045599 -0.00045696 -0.00045857 -0.00045117
 -0.00045179 -0.00045622 -0.00045269 -0.00045712 -0.00045163 -0.00045468
 -0.00045191 -0.00045283 -0.00045942 -0.0004512  -0.00045675 -0.0004566
 -0.00045709]",0.9790367,401
2,[1],"[-5.8587483e-04  1.8401620e-03  3.1516625e-04  8.5122808e-04
  5.2579190e-04  4.1574278e-04  4.4008621e-04  4.0583892e-04
  4.7707019e-04  4.3482939e-04  4.4366380e-04  4.7710605e-04
  2.0128602e-04  1.6748504e-04  4.1571050e-04  4.4012722e-04
  4.7710608e-04  4.7717171e-04  4.3479039e-04  4.3473340e-04
 -5.7610229e-04 -3.3844705e-04 -2.5612535e-05 -2.5646237e-05
 -3.3838913e-04]",0.979037,404
3,[1],"[ 0.0677988  -0.0640462  -0.06448594 -0.06407385 -0.0646318  -0.0635906
 -0.06350546 -0.06360029 -0.06472134 -0.06458052 -0.06360522 -0.06346666
 -0.06204098 -0.06406864 -0.06358464 -0.06374795 -0.06207579 -0.06371566
 -0.06345855 -0.06371993  0.42301026  0.4227296   0.42224425  0.4204573
  0.42266184]",0.020918995,405
4,[2],"[-0.00045083 -0.00044997 -0.00044997 -0.00044987 -0.00044612 -0.0004455
 -0.00045127 -0.00044987 -0.00044928 -0.00044718 -0.00044571 -0.00045084
 -0.00045071 -0.00045036 -0.00045089 -0.00044865 -0.0004487  -0.00044903
 -0.00044915 -0.00044899 -0.00045114 -0.00045056 -0.00045015 -0.0004503
 -0.00044978]",0.9790366,408
5,[2],"[-0.00046381 -0.00047365 -0.00047412 -0.00046383 -0.00047356 -0.00047327
 -0.00046358 -0.00047133 -0.00046306 -0.00046409 -0.00047371 -0.00046368
 -0.00046437 -0.00047351 -0.00046362 -0.0004735  -0.00046444 -0.00047323
 -0.00046329 -0.0004641  -0.00046353 -0.00046398 -0.00047353 -0.00047345
 -0.00044414]",0.97903675,409
6,[3],"[-0.0004577  -0.00045812 -0.00045675 -0.00045214 -0.00045133 -0.0004586
 -0.00045522 -0.00045836 -0.00045149 -0.00044838 -0.00045764 -0.00045218
 -0.00045681 -0.00045754 -0.00045798 -0.00045277 -0.00045943 -0.00044902
 -0.00045346 -0.00045789 -0.00045024 -0.00044967 -0.00045361 -0.00045473
 -0.00045784]",0.9790366,412
7,[3],"[-0.00043904 -0.00043954 -0.00043485 -0.00044467 -0.00043431 -0.00051335
 -0.00044989 -0.00043556 -0.00046428 -0.00048803 -0.00047531 -0.00048192
 -0.00044636 -0.0004522  -0.00044039 -0.00044999 -0.00048256 -0.00046004
 -0.0004826  -0.00043978 -0.00043951 -0.00043979 -0.00046578 -0.00043526
 -0.00043544]",0.9790367,413
8,[4],"[-0.0004558  -0.0004559  -0.00045327 -0.00045789 -0.00045578 -0.00045122
 -0.00045766 -0.00045597 -0.00045474 -0.00045559 -0.00045528 -0.00045246
 -0.00045761 -0.00045623 -0.00045607 -0.00045651 -0.00045573 -0.00045048
 -0.00045243 -0.00045605 -0.0004517  -0.00045703 -0.00045675 -0.00045635
 -0.00045677]",0.9790366,416
9,[4],"[-0.00046014 -0.00045951 -0.0004595  -0.00045942 -0.00045247 -0.00045994
 -0.00046043 -0.00045989 -0.00046107 -0.00046011 -0.00045959 -0.00046019
 -0.00046027 -0.00046004 -0.00045441 -0.00045989 -0.00045376 -0.00045801
 -0.00045347 -0.00045477 -0.00046036 -0.00046184 -0.00045953 -0.00046027
 -0.00045904]",0.9790367,417
10,[5],"[0.00063385 0.00034305 0.00021554 0.00041894 0.00034309 0.00034293
 0.00027039 0.0002704  0.00034293 0.00041901 0.0002703  0.00026461
 0.00026466 0.00041905 0.00028687 0.00031673 0.00027048 0.00026458
 0.000419   0.00026456 0.00062584 0.00038513 0.00065448 0.00065447
 0.00038512]",0.97903675,420
11,[5],"[ 0.0664996  -0.06390884 -0.06384374 -0.06392197 -0.06391872 -0.06383206
 -0.06389304 -0.06389511 -0.06394599 -0.06391887 -0.06392395 -0.06390671
 -0.06389672 -0.06391498 -0.06392279 -0.06384146 -0.06383891 -0.06393722
 -0.06383109 -0.06389196  0.42413816  0.424128    0.42354262  0.42265838
  0.42411175]",0.02091819,421
12,[6],"[-0.00046123 -0.00045407 -0.00045559 -0.00046156 -0.00046097 -0.00045393
 -0.00045963 -0.00045476 -0.00045501 -0.00046214 -0.00046113 -0.00046316
 -0.00045299 -0.00046171 -0.00045402 -0.00045697 -0.00046272 -0.00045448
 -0.00045771 -0.00046225 -0.0004628  -0.0004552  -0.00046114 -0.00045022
 -0.00046081]",0.9790367,424
13,[6],"[-0.00045121 -0.00045296 -0.00045277 -0.00045294 -0.0004512  -0.00045288
 -0.00045389 -0.00045305 -0.00045271 -0.00045347 -0.00045392 -0.00045237
 -0.00044989 -0.00045325 -0.00045285 -0.00045172 -0.00045476 -0.00045232
 -0.00045343 -0.00045448 -0.00045413 -0.000452   -0.00045183 -0.00045271
 -0.00045276]",0.9790366,425
14,[7],"[-0.00046346 -0.00046443 -0.00047256 -0.00046207 -0.00047349 -0.00047361
 -0.00046432 -0.00046217 -0.00046315 -0.00046588 -0.00047292 -0.0004723
 -0.0004729  -0.00047209 -0.00046425 -0.00046364 -0.00046431 -0.00047265
 -0.00046573 -0.0004713  -0.00047382 -0.00046398 -0.00046428 -0.0004522
 -0.00047246]",0.9790367,428
15,[7],"[-0.04031469 -0.04039301 -0.04027734 -0.04032778 -0.04027648 -0.04028661
 -0.04038266 -0.04030407 -0.04028235 -0.04030454 -0.04027157 -0.04031561
 -0.04032093 -0.04023606 -0.04034501 -0.04030655 -0.04032496 -0.04026412
 -0.04027311 -0.0403504   0.44276872  0.4442389   0.44402105  0.4409796 ]",0.020918548,429
16,[8],"[ 0.06558371 -0.0633069  -0.06276215 -0.06330602 -0.06350815 -0.06328137
 -0.06329915 -0.06418601 -0.06275874 -0.06278612 -0.06276508 -0.06195176
 -0.06349766 -0.06276323 -0.06275269 -0.06274293 -0.06277022 -0.06352617
 -0.0635034  -0.06350851  0.42105615  0.42071226  0.42085844  0.41950357
  0.4198511 ]",0.020918787,432
17,[8],"[ 0.06972297 -0.06181782 -0.0639993  -0.06404251 -0.06180633 -0.0642496
 -0.06424007 -0.06418772 -0.06414868 -0.06418961 -0.0641938  -0.06418607
 -0.06424504 -0.06425019 -0.06421547 -0.06419699 -0.06419632 -0.0642457
 -0.06425193 -0.06420174  0.42357266  0.42351964  0.4232951   0.4219981
  0.42377114]",0.020918876,433
18,[9],"[-0.00050989 -0.0004039  -0.00039808 -0.00040465 -0.00040407 -0.00040432
 -0.00039767 -0.00040407 -0.00065821 -0.00040557 -0.00044383 -0.00040308
 -0.00039791 -0.00043598 -0.00044153 -0.00040419 -0.00040572 -0.00040596
 -0.00044372 -0.00040456 -0.00040228 -0.00069822 -0.00040428 -0.00065745
 -0.00065738]",0.9790367,436
19,[9],"[-0.0004569  -0.00045551 -0.00045603 -0.00045234 -0.00045205 -0.0004561
 -0.00045733 -0.00045679 -0.00046009 -0.00045818 -0.00044986 -0.00045743
 -0.00045109 -0.00045201 -0.00045184 -0.00045562 -0.00045295 -0.00045205
 -0.00045652 -0.0004574  -0.00045334 -0.00045157 -0.00045189 -0.00045646
 -0.0004577 ]",0.97903657,437
20,[10],"[-0.00045317 -0.00045714 -0.00045538 -0.00044701 -0.00045174 -0.00046888
 -0.00045171 -0.00046288 -0.00044699 -0.0004531  -0.000452   -0.00044803
 -0.00047272 -0.00044753 -0.00045242 -0.00044616 -0.00045646 -0.00044781
 -0.00045127 -0.00045263 -0.00046142 -0.00046482 -0.00045188 -0.00045139
 -0.00047332]",0.97903675,440
